texto,sentimiento,sentiment_label,sentiment_probabilities
"Nos días! Me he dormido ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?",Neutral,0,"[0.8006263971328735, 0.19937360286712646]"
Vamos a por el viernes ( Ayuntamiento de Málaga) [pic]: ,Neutral,1,"[0.00038156501250341535, 0.999618411064148]"
La Universidad confía en De la Calle para encarar sus retos más ambiciosos ,Positivo,1,"[0.0005261226324364543, 0.9994738698005676]"
¿Me ayudáis a que indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros ,Positivo,1,"[0.02067355252802372, 0.9793264865875244]"
abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE ,Negativo,0,"[0.9996576309204102, 0.0003424024907872081]"
"abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores ",Negativo,0,"[0.9989663362503052, 0.0010336954146623611]"
La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas,Negativo,0,"[0.9987850785255432, 0.0012149137910455465]"
Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste HerenciaPSOE,Negativo,0,"[0.9993942975997925, 0.0006057333084754646]"
Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. SAMUR_PC traslada a Hospital Doce de Octubre vía EmergenciasMad,Negativo,0,"[0.9831268191337585, 0.01687323860824108]"
"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. ",Positivo,1,"[0.0009237711201421916, 0.999076247215271]"
"FF a ti, que deseas desesperadamente hacerme FF, pero no lo haces por el qué dirán.",Negativo,0,"[0.9989216327667236, 0.0010784463956952095]"
"Mis FF xa merpastor x volver a sonreír, a GFVara x ser tan autentico, a 24horas_rne x su subidòn y a CarmendelRiego x su victoria",Positivo,1,"[0.0003312006301712245, 0.9996688365936279]"
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar sevillahoy,Positivo,1,"[0.0008159151184372604, 0.9991840720176697]"
FF a RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,Positivo,1,"[0.0003062764008063823, 0.999693751335144]"
"""Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo""",Neutral,1,"[0.016779949888586998, 0.9832200407981873]"
"Open Master Classjaviersolana &Pedro Alonso on ""Global Health Challenges&Global Governance""esadegeoISGLOBALorg ",Neutral,1,"[0.0008606283226981759, 0.9991393089294434]"
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,Positivo,1,"[0.013925709761679173, 0.9860742688179016]"
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,Negativo,0,"[0.9984644651412964, 0.0015355335781350732]"
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. ,Negativo,0,"[0.9994452595710754, 0.0005546836764551699]"
No se ha aprobado la ley Sinde,Negativo,0,"[0.9995606541633606, 0.0004393057606648654]"
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.,Neutral,0,"[0.9991996884346008, 0.000800290668848902]"
"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡MUCHA SUEE! ",Positivo,1,"[0.00045566391781903803, 0.9995443224906921]"
"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto""",Negativo,0,"[0.999535083770752, 0.0004649530746974051]"
Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.0 cotizantes más y 4.0 desempleados menos.,Neutral,1,"[0.009125692769885063, 0.9908742904663086]"
En el blog: Defender la solidaridad ,Neutral,1,"[0.016406802460551262, 0.9835931658744812]"
FF de vuelta ;-)) Pepemaras PopularesCyL anamariavielba marmarev ajimnezvelayos jmoreta23 dllanosg c_floriano,Positivo,1,"[0.0004226101445965469, 0.9995773434638977]"
"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!",Negativo,0,"[0.9993007183074951, 0.0006992535199970007]"
Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. PSNPSOE,Neutral,1,"[0.0004539016808848828, 0.9995461106300354]"
"El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria",Neutral,1,"[0.011076923459768295, 0.9889230728149414]"
El post de hoy en mi blog ,Neutral,1,"[0.0036802846007049084, 0.9963196516036987]"
Me encanta ver por aqui  a TuDNIe ;-)),Positivo,1,"[0.00023585432791151106, 0.9997641444206238]"
si están por Valencia España les recomiendo esta exposición !! ,Positivo,1,"[0.0002655245771165937, 0.9997344613075256]"
La gran noche de los abanderados 2.0 - La Opinión de Málaga ,Neutral,1,"[0.00036980267032049596, 0.9996302127838135]"
“martacerame: maria_rey Amiga!” hola guapa!,Positivo,1,"[0.00026105064898729324, 0.9997389912605286]"
El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él,Negativo,0,"[0.9989200830459595, 0.0010799092706292868]"
"firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas ",Neutral,1,"[0.000408981490181759, 0.999591052532196]"
El desempleo en EE UU baja a los niveles de marzo de 2009 ,Positivo,1,"[0.10721882432699203, 0.8927811980247498]"
Seguimos ( Unidad de Cuidados Paliativos Hospital Civil) [pic]: ,Neutral,1,"[0.0023636692203581333, 0.9976363182067871]"
Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!,Neutral,1,"[0.0005936798406764865, 0.9994063377380371]"
"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? TelediarioInter 20:30",Negativo,0,"[0.9990907907485962, 0.0009091759566217661]"
Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.,Negativo,1,"[0.02992764487862587, 0.9700723886489868]"
"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar.urge ley transparencia ya",Negativo,0,"[0.9996154308319092, 0.00038453121669590473]"
FanClubMASes: Éstas Navidades regala solidaridad:positivegeneration (cont) ,Positivo,1,"[0.0005112661747261882, 0.9994887113571167]"
¿Crisis de identidad?  LoidaLois EvaORegan ¡Tú eres española por encima de todo!,Negativo,0,"[0.9996172189712524, 0.0003827880718745291]"
El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto.  karlagglez: (cont) ,Positivo,1,"[0.00026687985518947244, 0.9997331500053406]"
Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios.la que ahora aplica sin pudor,Negativo,0,"[0.9993391633033752, 0.0006608148687519133]"
"Así me gusta, Mónica “moniromaba: pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”",Positivo,1,"[0.000305007939459756, 0.9996950626373291]"
Eso es amigos.  HombresSanzeros: AlejandroSanz NavidadSanzeraSolidaria Todos a comprar (cont) ,Neutral,1,"[0.006504211574792862, 0.9934958219528198]"
Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.,Positivo,1,"[0.0013594358460977674, 0.9986405968666077]"
"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.",Negativo,0,"[0.9994074106216431, 0.0005925464211031795]"
GFVara la ley del embudo.característica de la derecha española. Animo,Negativo,1,"[0.003184903645887971, 0.9968151450157166]"
"Eso no es cierto, nos llevamos de maravilla.  Deyra_love_BTR: AlejandroSanz  ¬¬ POR QE! (cont) ",Positivo,1,"[0.00022895944130141288, 0.9997710585594177]"
"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h giraldatv.es ",Positivo,1,"[0.0011067537125200033, 0.9988933205604553]"
Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!,Positivo,1,"[0.0003573359572328627, 0.9996426105499268]"
"Durante la campańa, Cospedal decía lo que oía en casa, ahora ya hace lo que oye en casa. ",Neutral,0,"[0.7222354412078857, 0.27776452898979187]"
SSantiagosegura angyfdz flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),Positivo,1,"[0.0002810159930959344, 0.999718964099884]"
"Para nada. Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño, (cont) ",Positivo,1,"[0.00038835976738482714, 0.9996116757392883]"
"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo",Negativo,0,"[0.9990748167037964, 0.0009251997689716518]"
"Auan, apeich, agromenauer.Lucas Grijander y su progenitor. ",Neutral,1,"[0.1487250030040741, 0.8512750267982483]"
"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick",Positivo,1,"[0.0014447992434725165, 0.9985552430152893]"
Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.,Negativo,0,"[0.9994446635246277, 0.0005553102237172425]"
"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!",Positivo,1,"[0.0007854964351281524, 0.9992145299911499]"
Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . ,Negativo,0,"[0.9996117949485779, 0.0003882427990902215]"
"Buenos dias, que buenos eran/siguen siendo Talking Heads.",Positivo,1,"[0.00030331560992635787, 0.9996967315673828]"
SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;) haciendo d Lady Marmalade!;)) jojijii,Positivo,1,"[0.00031950988341122866, 0.9996805191040039]"
malaga Plaza de la Merced Plaza de la Merced ,Neutral,1,"[0.001705286675132811, 0.9982947707176208]"
Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.,Negativo,0,"[0.9934521913528442, 0.006547804456204176]"
Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - ,Positivo,1,"[0.00045061574201099575, 0.9995493292808533]"
Gracias por la hospitalidad! ;-)  IsabelaTortlini Bienvenido DON aarbeloa17 a mi humilde morada ;),Positivo,1,"[0.00024294013564940542, 0.9997571110725403]"
"En el Espolón, conmemorando el Día de la Discapacidad ",Positivo,1,"[0.002626245142892003, 0.9973737001419067]"
Así es el belén del Ayuntamiento ,Neutral,0,"[0.8839787244796753, 0.11602125316858292]"
Los vándalos le arrancan de nuevo el lápiz a Picasso ,Negativo,0,"[0.9996048808097839, 0.00039519582060165703]"
Esto es apoyar de verdad: La DiputacionMLG  reducirá impuestos a 96 pueblos ,Positivo,1,"[0.0009195681777782738, 0.9990804195404053]"
Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!,Negativo,1,"[0.20082370936870575, 0.7991762757301331]"
Que corra el Dewars!“DewarsSpain: jordievole buenafuente julia_otero santi_millan gracias Jordi”,Positivo,1,"[0.00025748912594281137, 0.9997424483299255]"
Detenida la jefa de una prestigiosa ONG rusa de control electoral ,Positivo,1,"[0.002530069090425968, 0.9974699020385742]"
Porque no tenemos programa. Gracias KimyTwitera: Buenafuente buenafuente por q ya no dais tanta risa?¿?”,Negativo,0,"[0.9982099533081055, 0.0017900228267535567]"
"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  ",Negativo,0,"[0.9996114373207092, 0.0003886203339789063]"
"Noelia, Noelia, Noelia.“njimenez79:  Me parezco a pedroj_ramirez en el manejo del iPad. A ver si empiezo a parecerme en lectores!”",Neutral,1,"[0.0014788623666390777, 0.9985211491584778]"
"La vida no se mide por las veces que respiramos, sino por aquellos momentos que nos dejan sin aliento (vía ifilosofia)",Neutral,1,"[0.32427266240119934, 0.675727367401123]"
"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo ",Negativo,0,"[0.834564208984375, 0.1654358059167862]"
"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. ",Positivo,1,"[0.0002728199469856918, 0.999727189540863]"
". diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas ",Negativo,0,"[0.999311089515686, 0.0006888803909532726]"
Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.,Negativo,1,"[0.2408001720905304, 0.7591997981071472]"
Nada como unos rollitos de vez en cuando ,Neutral,0,"[0.9977432489395142, 0.0022568046115338802]"
Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.,Negativo,0,"[0.9986534118652344, 0.0013465541414916515]"
FranHervias:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos ,Positivo,1,"[0.0009504460031166673, 0.9990494847297668]"
"Bueno, a ver qué hace el Madrid. Lo comentamos dentro de un rato con Edu en Radio Marca.",Neutral,1,"[0.00045523972949013114, 0.9995446801185608]"
"Señora  mjmonteroc mire usted el estado de la zona de "" recreo"" de psiquiatría del Hospital Civil de malaga ",Neutral,0,"[0.9977157115936279, 0.0022843568585813046]"
GRACIAS AMIGOS! YA SOMOS 200.0!;),Positivo,1,"[0.00025301327696070075, 0.9997469782829285]"
Ey ivangeba que si esta aquí la Consejera de Salud mjmonteroc,Neutral,0,"[0.9906174540519714, 0.009382491931319237]"
"Carlos_Latre Twitcam, Twitcam, Twitcam, Twitcam, Twitcam, Twitcam !",Neutral,1,"[0.005757319275289774, 0.9942426085472107]"
Ojala en España fuera igual  cdperiodismo: En Brasil se necesitará diploma para ejercer el periodismo ,Neutral,1,"[0.03648288547992706, 0.9635170698165894]"
"Preciosa de verdad - Perdóname by Pablo Alborán, from SoundHound ",Positivo,1,"[0.00024560379097238183, 0.9997543692588806]"
Ataque de inyección SQL masivo ,Negativo,0,"[0.9992771744728088, 0.0007228653412312269]"
Descansando 2 ,Neutral,1,"[0.0008257220033556223, 0.9991742968559265]"
Mira sblanco nuestro árbol ;-)) ,Positivo,1,"[0.00029874552274122834, 0.999701201915741]"
"Je,je! Eso es bueno mkreyes80: Buenafuente me has hecho llorar. De risa!”",Positivo,1,"[0.00036159969749860466, 0.9996384382247925]"
Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos! La teleton te necesita!,Positivo,1,"[0.0004638981190510094, 0.9995361566543579]"
"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.",Positivo,1,"[0.0009263366810046136, 0.9990736246109009]"
Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra MultiplicoComoPaulinaRubio ja ja ja muy bueno!,Positivo,1,"[0.000332304451148957, 0.999667763710022]"
Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?,Negativo,0,"[0.9994538426399231, 0.0005461249384097755]"
"Buenos dias y mil gracias  pvcmalaga: Buen día mariviromero,mi concejala favorita.",Positivo,1,"[0.00024344770645257086, 0.9997565150260925]"
. JavierArenas_PP  critica que PepeGrinan pida a MarianoRajoy una reunión que niega a sus alcaldes  ,Negativo,0,"[0.999221682548523, 0.0007783544715493917]"
". MarianoRajoy :  ""Salir adelante no es tarea de un Gobierno solo""  ",Neutral,1,"[0.22510012984275818, 0.7748998403549194]"
Krugman: la austeridad está matando al euro ,Negativo,0,"[0.9920633435249329, 0.007936688140034676]"
".sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog ",Negativo,0,"[0.9987963438034058, 0.0012036417610943317]"
".rutenca .sgueina ""el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea..”Viva la ironía",Neutral,1,"[0.0005100697162561119, 0.9994899034500122]"
;-))  cacmalaga: ,Positivo,1,"[0.0003430608194321394, 0.9996569156646729]"
Rajoy quiere que España vuelva a tener relevancia en Europa ,Positivo,1,"[0.0010388072114437819, 0.9989612102508545]"
"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" ",Negativo,0,"[0.9995115995407104, 0.000488429912365973]"
"EvaORegan antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.",Negativo,0,"[0.9989981055259705, 0.0010018645552918315]"
"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (carlos_muela ). ",Positivo,1,"[0.0006012924131937325, 0.9993987083435059]"
Palmas por sevillanas para animar a Rafa!! sevillaciudadtalisman copadavis,Positivo,1,"[0.00021861340792383999, 0.9997814297676086]"
Recién llegada a Madrid!!por fin en casita pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche.,Neutral,1,"[0.0007770582451485097, 0.9992228746414185]"
Retazos de una primera dama ,Neutral,1,"[0.011532779783010483, 0.9884672164916992]"
"'Chico & Rita', premio europeo a la mejor cinta de animación ",Positivo,1,"[0.0006154364091344178, 0.9993845224380493]"
Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO,Positivo,1,"[0.000251227495027706, 0.9997487664222717]"
"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.VamosRafa CopaDavis ole RafaelNadal!!",Positivo,1,"[0.0004267443437129259, 0.999573290348053]"
"Buen artículo de LD. Hay que arrimar el hombro. La Asociación de Ayuda a las Víctimas del 11-M, al borde del cierre ",Neutral,1,"[0.0035387955140322447, 0.9964612126350403]"
"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad.",Positivo,1,"[0.000530275225173682, 0.9994696974754333]"
Menudo break en blanco ha logrado DelPotro. Vamos a sufrir hasta el final. Los hinchas argentinos descentran a Rafa.,Neutral,0,"[0.9974484443664551, 0.002551587065681815]"
“BeaGarciaCHV: Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos?”te doy mi carta y se la das??jajja bss!,Positivo,1,"[0.23154620826244354, 0.76845383644104]"
"“marinitaMF: Edurnity Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja",Positivo,1,"[0.0003185180830769241, 0.9996814727783203]"
Viaje a las embajadas catalanas del derroche - ABC.es ,Negativo,0,"[0.8463237881660461, 0.15367619693279266]"
"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! VamosRafa",Positivo,1,"[0.0014742187922820449, 0.9985257983207703]"
“Ryankuletz: Creo que edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. cosasquenuncaentenderas :)”jaajjajajja,Positivo,1,"[0.0022915101144462824, 0.9977084398269653]"
Amonestado el público argentino en La Cartuja!,Negativo,0,"[0.9985653758049011, 0.0014346431707963347]"
. Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!,Positivo,1,"[0.00024847208987921476, 0.9997515082359314]"
"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe",Positivo,1,"[0.0012909367214888334, 0.9987090826034546]"
Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.,Positivo,1,"[0.0004442226199898869, 0.999555766582489]"
"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!",Positivo,1,"[0.00029269230435602367, 0.9997072815895081]"
Grandioso Rafa Nadal!,Positivo,1,"[0.0002934217918664217, 0.9997065663337708]"
"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes."" ¡Gracias por ser ESPAÑOL!",Positivo,1,"[0.00030446640448644757, 0.9996955394744873]"
El camino no puede ser otro que más Europa enmiblog,Neutral,1,"[0.028950775042176247, 0.9710492491722107]"
El partido de Putin/Medveded (Rusia Unida) gana los comicios pero sufre una fuerte caía. Segundo partido más votado: Partido Comunista.,Positivo,0,"[0.9185491800308228, 0.08145086467266083]"
"Madrid ciudad sin niños, aumenta el número de personas que viven solas.",Neutral,0,"[0.764413595199585, 0.23558644950389862]"
"Felicidades a RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb",Positivo,1,"[0.00026432049344293773, 0.9997356534004211]"
donaundia Los 10 primeros días cruciales para la vida del niño ,Neutral,1,"[0.0006846908363513649, 0.9993152618408203]"
Estoy viendo los editoriales “jjesusmelian: pedroj_ramirez cuentalo ya q estamos en el descanso”,Neutral,1,"[0.0019002100452780724, 0.9980998635292053]"
"Fantásticas, a cual mejor “MarisolCovelo. qué os parece mi foto de elprimernaufragio ?",Positivo,1,"[0.00034607635461725295, 0.9996539354324341]"
Fin a la impunidad en Internet ,Positivo,1,"[0.0024613593704998493, 0.997538685798645]"
A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.,Negativo,0,"[0.9983555674552917, 0.0016444307984784245]"
"""Una entrevista es un punto intermedio entre una sesión de psicoanálisis y un concurso. A veces no tengo respuestas"" Fellini",Neutral,1,"[0.3587920665740967, 0.6412079334259033]"
En el blog: Lágrimas tecnócratas ,Negativo,0,"[0.999546229839325, 0.0004537537170108408]"
"""Los ministros d marianorajoy : fin de la ineptocracia"" Semanaldigital PPopular ",Negativo,0,"[0.9993613362312317, 0.0006387209868989885]"
"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos ",Negativo,0,"[0.9969198703765869, 0.0030801116954535246]"
A por crackoviadeTV3 !!;)) buenos días queridos twiteros!!;)),Positivo,1,"[0.0002723721554502845, 0.9997276663780212]"
Gracias Venezuela! ,Positivo,1,"[0.0002620321174617857, 0.9997379183769226]"
"Bdías, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.",Positivo,1,"[0.00047407750389538705, 0.9995259046554565]"
"¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el ""puente"", mientras en España hay 5 millones de parados?",Negativo,0,"[0.9994717240333557, 0.0005282366182655096]"
"Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir fueradelaley",Negativo,0,"[0.9890713691711426, 0.010928628966212273]"
"Sobre ""accidentes"".  santigonzalez10 Él había llegado antes ",Negativo,0,"[0.9994309544563293, 0.0005690668476745486]"
Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad ,Positivo,1,"[0.000325596280163154, 0.9996744394302368]"
El voluntariado invisible ,Neutral,0,"[0.9982742071151733, 0.001725801732391119]"
"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - ",Negativo,0,"[0.999461829662323, 0.0005381574155762792]"
En el Congreso. Entregando el Acta y haciendo todo el papeleo. Luego os cuento como queda la cosa!,Neutral,1,"[0.005389674566686153, 0.9946103096008301]"
Que vistas tiene mi amigo DjDiMartino  desde su casa en almeria! Y esta tarde y esta noche con el en discoteca caramelo,Neutral,1,"[0.0002952632203232497, 0.9997046589851379]"
UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.,Negativo,0,"[0.9950397610664368, 0.00496024452149868]"
Hoy abordaremos en 13tv_aldia 13television la gestión privada de los hospitales públicos. ¿qué ganamos los ciudadanos? ¿qué perdemos?,Neutral,1,"[0.39016515016555786, 0.6098348498344421]"
"Sin Miedo by Rosana, from SoundHound ",Neutral,1,"[0.000642240047454834, 0.9993577599525452]"
"Y mientras tanto, el verdadero problema se agrava año tras año ",Negativo,0,"[0.9995964169502258, 0.0004035798483528197]"
El sector del lujo cierra el ejercicio con un 25% más de beneficios. ¿Quién sufre la crisis? Pues eso.,Neutral,0,"[0.999350368976593, 0.0006496167625300586]"
Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!,Positivo,1,"[0.0009702991810627282, 0.9990297555923462]"
Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via Clarin_com ,Positivo,1,"[0.000388547865441069, 0.9996114373207092]"
El ppandaluz no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación ,Negativo,0,"[0.9978054165840149, 0.0021945920307189226]"
"Sí, raritos q somos.  ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria."" ",Negativo,0,"[0.9977856874465942, 0.0022142583038657904]"
"PerezHilton paurubio Que triste es esto, Pau! ",Negativo,0,"[0.999457061290741, 0.000542889756616205]"
"Jo :-)  xaviconde Me dice Tonicanto1, que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a Padrinomc.",Neutral,0,"[0.9928405284881592, 0.007159445900470018]"
En estos días de traspaso de poderes os recomiendo seguir a 3 personas claves en el proceso sorayapp jlayllon y fatimabanez entre otros,Neutral,1,"[0.0010358986910432577, 0.9989640712738037]"
Entiendo que CNN conecte por Skype con disidentes en Siria pero que la mayoría de las conexiones ya sean por cámara de móvil .,Positivo,1,"[0.00041100368252955377, 0.9995890259742737]"
Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. ,Negativo,0,"[0.7772225737571716, 0.22277741134166718]"
