texto,sentimiento
El desempleo en EE UU baja a los niveles de marzo de 2009 ,Positivo
Seguimos ( Unidad de Cuidados Paliativos Hospital Civil) [pic]: ,Neutral
Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!,Neutral
"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? TelediarioInter 20:30",Negativo
Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.,Negativo
"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar.urge ley transparencia ya",Negativo
FanClubMASes: Éstas Navidades regala solidaridad:positivegeneration (cont) ,Positivo
¿Crisis de identidad?  LoidaLois EvaORegan ¡Tú eres española por encima de todo!,Negativo
El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto.  karlagglez: (cont) ,Positivo
Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios.la que ahora aplica sin pudor,Negativo
"Así me gusta, Mónica “moniromaba: pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”",Positivo
Eso es amigos.  HombresSanzeros: AlejandroSanz NavidadSanzeraSolidaria Todos a comprar (cont) ,Neutral
Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.,Positivo
"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.",Negativo
GFVara la ley del embudo.característica de la derecha española. Animo,Negativo
"Eso no es cierto, nos llevamos de maravilla.  Deyra_love_BTR: AlejandroSanz  ¬¬ POR QE! (cont) ",Positivo
"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h giraldatv.es ",Positivo
Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!,Positivo
"Durante la campańa, Cospedal decía lo que oía en casa, ahora ya hace lo que oye en casa. ",Neutral
SSantiagosegura angyfdz flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),Positivo
"Para nada. Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño, (cont) ",Positivo
"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo",Negativo
"Auan, apeich, agromenauer.Lucas Grijander y su progenitor. ",Neutral
"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick",Positivo
Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.,Negativo
"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!",Positivo
Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . ,Negativo
"Buenos dias, que buenos eran/siguen siendo Talking Heads.",Positivo
SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;) haciendo d Lady Marmalade!;)) jojijii,Positivo
malaga Plaza de la Merced Plaza de la Merced ,Neutral
Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.,Negativo
Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - ,Positivo
Gracias por la hospitalidad! ;-)  IsabelaTortlini Bienvenido DON aarbeloa17 a mi humilde morada ;),Positivo
"En el Espolón, conmemorando el Día de la Discapacidad ",Positivo
Así es el belén del Ayuntamiento ,Neutral
Los vándalos le arrancan de nuevo el lápiz a Picasso ,Negativo
Esto es apoyar de verdad: La DiputacionMLG  reducirá impuestos a 96 pueblos ,Positivo
Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!,Negativo
Que corra el Dewars!“DewarsSpain: jordievole buenafuente julia_otero santi_millan gracias Jordi”,Positivo
Detenida la jefa de una prestigiosa ONG rusa de control electoral ,Positivo
Porque no tenemos programa. Gracias KimyTwitera: Buenafuente buenafuente por q ya no dais tanta risa?¿?”,Negativo
"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  ",Negativo
"Noelia, Noelia, Noelia.“njimenez79:  Me parezco a pedroj_ramirez en el manejo del iPad. A ver si empiezo a parecerme en lectores!”",Neutral
"La vida no se mide por las veces que respiramos, sino por aquellos momentos que nos dejan sin aliento (vía ifilosofia)",Neutral
"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo ",Negativo
"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. ",Positivo
". diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas ",Negativo
Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.,Negativo
Nada como unos rollitos de vez en cuando ,Neutral
Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.,Negativo
FranHervias:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos ,Positivo
"Bueno, a ver qué hace el Madrid. Lo comentamos dentro de un rato con Edu en Radio Marca.",Neutral
"Señora  mjmonteroc mire usted el estado de la zona de "" recreo"" de psiquiatría del Hospital Civil de malaga ",Neutral
GRACIAS AMIGOS! YA SOMOS 200.0!;),Positivo
Ey ivangeba que si esta aquí la Consejera de Salud mjmonteroc,Neutral
"Carlos_Latre Twitcam, Twitcam, Twitcam, Twitcam, Twitcam, Twitcam !",Neutral
Ojala en España fuera igual  cdperiodismo: En Brasil se necesitará diploma para ejercer el periodismo ,Neutral
"Preciosa de verdad - Perdóname by Pablo Alborán, from SoundHound ",Positivo
Ataque de inyección SQL masivo ,Negativo
Descansando 2 ,Neutral
Mira sblanco nuestro árbol ;-)) ,Positivo
"Je,je! Eso es bueno mkreyes80: Buenafuente me has hecho llorar. De risa!”",Positivo
Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos! La teleton te necesita!,Positivo
"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.",Positivo
Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra MultiplicoComoPaulinaRubio ja ja ja muy bueno!,Positivo
Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?,Negativo
"Buenos dias y mil gracias  pvcmalaga: Buen día mariviromero,mi concejala favorita.",Positivo
. JavierArenas_PP  critica que PepeGrinan pida a MarianoRajoy una reunión que niega a sus alcaldes  ,Negativo
". MarianoRajoy :  ""Salir adelante no es tarea de un Gobierno solo""  ",Neutral
Krugman: la austeridad está matando al euro ,Negativo
".sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog ",Negativo
".rutenca .sgueina ""el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea..”Viva la ironía",Neutral
;-))  cacmalaga: ,Positivo
Rajoy quiere que España vuelva a tener relevancia en Europa ,Positivo
"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" ",Negativo
"EvaORegan antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.",Negativo
"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (carlos_muela ). ",Positivo
Palmas por sevillanas para animar a Rafa!! sevillaciudadtalisman copadavis,Positivo
Recién llegada a Madrid!!por fin en casita pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche.,Neutral
Retazos de una primera dama ,Neutral
"'Chico & Rita', premio europeo a la mejor cinta de animación ",Positivo
Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO,Positivo
"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.VamosRafa CopaDavis ole RafaelNadal!!",Positivo
"Buen artículo de LD. Hay que arrimar el hombro. La Asociación de Ayuda a las Víctimas del 11-M, al borde del cierre ",Neutral
"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad.",Positivo
Menudo break en blanco ha logrado DelPotro. Vamos a sufrir hasta el final. Los hinchas argentinos descentran a Rafa.,Neutral
“BeaGarciaCHV: Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos?”te doy mi carta y se la das??jajja bss!,Positivo
"“marinitaMF: Edurnity Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja",Positivo
Viaje a las embajadas catalanas del derroche - ABC.es ,Negativo
"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! VamosRafa",Positivo
“Ryankuletz: Creo que edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. cosasquenuncaentenderas :)”jaajjajajja,Positivo
Amonestado el público argentino en La Cartuja!,Negativo
. Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!,Positivo
"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe",Positivo
Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.,Positivo
"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!",Positivo
Grandioso Rafa Nadal!,Positivo
"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes."" ¡Gracias por ser ESPAÑOL!",Positivo
El camino no puede ser otro que más Europa enmiblog,Neutral
El partido de Putin/Medveded (Rusia Unida) gana los comicios pero sufre una fuerte caía. Segundo partido más votado: Partido Comunista.,Positivo
"Madrid ciudad sin niños, aumenta el número de personas que viven solas.",Neutral
"Felicidades a RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb",Positivo
donaundia Los 10 primeros días cruciales para la vida del niño ,Neutral
Estoy viendo los editoriales “jjesusmelian: pedroj_ramirez cuentalo ya q estamos en el descanso”,Neutral
"Fantásticas, a cual mejor “MarisolCovelo. qué os parece mi foto de elprimernaufragio ?",Positivo
Fin a la impunidad en Internet ,Positivo
A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.,Negativo
"""Una entrevista es un punto intermedio entre una sesión de psicoanálisis y un concurso. A veces no tengo respuestas"" Fellini",Neutral
En el blog: Lágrimas tecnócratas ,Negativo
"""Los ministros d marianorajoy : fin de la ineptocracia"" Semanaldigital PPopular ",Negativo
"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos ",Negativo
A por crackoviadeTV3 !!;)) buenos días queridos twiteros!!;)),Positivo
Gracias Venezuela! ,Positivo
"Bdías, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.",Positivo
"¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el ""puente"", mientras en España hay 5 millones de parados?",Negativo
"Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir fueradelaley",Negativo
"Sobre ""accidentes"".  santigonzalez10 Él había llegado antes ",Negativo
Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad ,Positivo
El voluntariado invisible ,Neutral
"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - ",Negativo
En el Congreso. Entregando el Acta y haciendo todo el papeleo. Luego os cuento como queda la cosa!,Neutral
Que vistas tiene mi amigo DjDiMartino  desde su casa en almeria! Y esta tarde y esta noche con el en discoteca caramelo,Neutral
UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.,Negativo
Hoy abordaremos en 13tv_aldia 13television la gestión privada de los hospitales públicos. ¿qué ganamos los ciudadanos? ¿qué perdemos?,Neutral
"Sin Miedo by Rosana, from SoundHound ",Neutral
"Y mientras tanto, el verdadero problema se agrava año tras año ",Negativo
El sector del lujo cierra el ejercicio con un 25% más de beneficios. ¿Quién sufre la crisis? Pues eso.,Neutral
Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!,Positivo
Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via Clarin_com ,Positivo
El ppandaluz no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación ,Negativo
"Sí, raritos q somos.  ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria."" ",Negativo
"PerezHilton paurubio Que triste es esto, Pau! ",Negativo
"Jo :-)  xaviconde Me dice Tonicanto1, que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a Padrinomc.",Neutral
En estos días de traspaso de poderes os recomiendo seguir a 3 personas claves en el proceso sorayapp jlayllon y fatimabanez entre otros,Neutral
Entiendo que CNN conecte por Skype con disidentes en Siria pero que la mayoría de las conexiones ya sean por cámara de móvil .,Positivo
Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. ,Negativo
"ICanAdmit , elcomecocos10 , Merkel y Sarkozy y cuatrotuiteros , los TT esta tarde en España",Neutral
"El PPopular no descarta otra ronda de reuniones con ministerios para traspaso de poderes, después de recibir información pedida al gobierno",Neutral
"Toda suya “juliosandreu: Sí Sr. La he grabado. Un saludo desde el otro lado, jeje, ( de España ). Buena tarde.”",Positivo
"Y hable con el corazón de los afectos Y en esas cosas la Justicia habla idiomas diferentes. Insisto, dusculpad, pero volvería a hacerlo.",Neutral
Entiendo los unfollow. Aceptar el desconcierto. Y hasta reconocer errores. Pero creo fuera de lugar anunciar venganza radiofónica. Eso no,Positivo
;-)  CarlosSerrato82: FW para mariviromero y mucha suerte con tu primera entrevista aquí. El hastag es YNTERVIUMarivi,Positivo
"""España gasta mas en sanidad que tofo el presupuesto en sanidad"" Núñez Feijoo en Gato_directo",Negativo
A las 22.30 mi primera entrevista en directo en Twitter. Si Quieres seguirla busca el hastag YnterviuMarivi l ,Positivo
Feliz dia del voluntario. Los hËroes anónimos. Los del sacrificia por eleccion propia. Gracias por tanto.,Positivo
Gracias  Pepemaras: YNTERVIUMARIVI Interesante la entrevista de mariviromero Nuevas herramientas: nuevas formas de comunicar,Positivo
Gracias a ti Paco  pacorengel: YNTERVIUMARIVI mariviromero Muchísimas gracias. Un beso. La cuelgo en un ratito en ,Positivo
"Aunque en menor medida, también lo son muchas que no son madres ;) ejoana: Supermujeres. Gran post de virginiapalonso ",Positivo
Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España,Negativo
"Impresionante! Enhorabuena a enpiedeguerra y un beso a chiquiesteban : Percebeiros, de David Beriain, a por el Goya! ",Positivo
"Sorgiñas, culebras. Cabrones negros de barba larga.",Negativo
". enough today. la semana es larga, y seguramente más apasionante de lo recomendable.",Positivo
Me voy a leer un rato 'Un día más con vida' de Ryszard Kapuscinscki. Gran descubrimiento del reportero polaco. ;) ,Positivo
Disculpad la vehemencia. Pienso en ello para una peli.,Neutral
"Despegando ya.que lindo mi pais, que linda mi gente!! --Shak",Positivo
SyntekNosa pax ahora actuando. Claaro que si. ,Neutral
"Bono celebra su última fiesta en el Congreso y la pregunta es si habrá un Viva España! Con JuanraLucas y en RNE, para arrancar.",Positivo
"Triste  JosepLLuisCerro:  skalistrao: ""Papá, ¿nosotros qué somos: catalanes o fachas?"" :: Barcelona :: Cataluña: ",Negativo
Extorsión mafiosa; por Carlos García - en  ,Negativo
"No sé de que se sorprenden algunos. El PP presenta unos presupuestos tarde, sin negociar, cargándose la universidad, recortando derechos.",Negativo
¿Se plantea Rajoy subir el IVA? ,Negativo
"¡Constitución, Constitución!, ¡Cuántos viajes y comidas gratis se han dado en tu nombre!, feliz día.",Negativo
"Buenos días. El hastag debería ser cincotuiteros, porque yo soy uno de ellos. cuatrotuiteros",Neutral
BUENOS DÍAS PAY TIME!,Positivo
"A los okupas no les gusta el edificio de Concepcion Jeronima xq esta en obras. Les gustan mas los edificios a estrenar, pero sin pagar.",Negativo
Hoy en el Día de la Constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza vivalaconstitucion,Negativo
Monti dice que no cobrará como primer ministro. Demagogia populista para hacer tragar el ricino de los recortes. La aristocracia financiera,Negativo
"El «vuelva usted mañana», pero por mail - ABC.es ",Neutral
Rubalcaba responde a Ridao en El País ,Neutral
Chacón confía en la democracia interna de los partidos.. Día de la Constitución. Congreso,Positivo
.marianorajoy congreso: Primera ley será desarrollo reforma constitución xra garantizar estabilidad presupuestaria. Lo dirá ZP n Bruselas,Positivo
Diferentes ciudadanos leen artículos d la constitución en el acto de Ciutadans_Cs en la Ciutadella ,Neutral
Empieza el acto de homenaje a la Constitución con el próximo Presidente del Gobierno. vivalaconstitucion  ,Positivo
Bono a ZP: has dado lo mejor de ti a España en un momento muy difícil. A Rajoy le desea acierto en sus decisiones x el bien de todos.,Neutral
"Gallardon habla amigablemente con Zapatero, Guerra con Alonso, Pepiño recibe el cariño de periodistas amigos",Positivo
¿Por qué será que hoy parecía haber más gente en la recepción oficial del aniversario de la Constitución?,Neutral
Otro enchufado más antes de que se vaya ZP ,Negativo
Rajoy rompe su silencio en la fiesta del Congreso plagada de ausentes ,Negativo
Corrillo Rajoy: Los tengo [a los ministros] en la cabeza pero no he hablado de nada con nadie. ¿Sorpresas? Soy razonablemente previsible.,Neutral
"Las instituciones deberían hacer dl día d l Constitución 1 fiesta cívica d todos,destacando valores democráticos y no 1 acto para políticos",Positivo
En alguna CA como Cataluña ni siquiera hay acto institucional en un día como hoy.No interesa recordar LaConstitucionquenosUne,Negativo
Conference Robert Steele en GlobalChase UNED. Estrategias de Inteligencia ante las amenazas económicas globales ,Neutral
Me agrada coincidir con mi amigo mechor en la denuncia de las tecnicas mafiosas en el Euskadi,Neutral
"Dios mío, es tan real que da miedo. ¡ánimo mamás trabajadora, nosotras podemos! Supermujeres ",Positivo
Menos palabras y mas hechos.Inauguración con tirón de orejas. SUR.es ,Neutral
". ya ya.Griñán ve ""imposible"" ser imputado en el caso ERE ",Negativo
Gracias por seguirme RodolfoTesone ;-)),Positivo
Yo ya me he inscrito  'FotosyTuits06'!  ,Neutral
Una vez me dijo un amigo hace daño quien puede y no quien quiere.que razon tenia! Seguire aqui por esas 248.315 personas que me quereis!,Neutral
Y ahí va el editorial.  por favor. CÃ³mo pasar en el 11-M de impostor a testigo de cargo  ,Negativo
"Rajoy, 3-1 para el Madrid; Zapatero para «su» Barça y Rubalcaba evita «mojarse» - ABC.es ",Neutral
A ver. Se aclara lo de las entradas o qué?. Aquí los actores esperando. terratpack ,Positivo
El Museo de la Cueva de Nerja abre con una previsión de 100.0 visitas al año ,Positivo
"El día en que Merkel dejó de ser socialista, por basteiro  ",Neutral
“lhermoso_: 17 periodistas han sido asesinados durante el último año en Honduras: ,Negativo
"Ahora si que me despido! a lavar los piños y ¨pa¨ la cama! Hola lucia_miguel un beso de buenas noches para ti, que veo que acabas de llegar",Positivo
Tu q sabes seguro q me has entendido  antoniocamunas :),Positivo
"Sintonía total entre Rajoy y Zapatero, con importantes matices de Rubalcaba. La recepción del día de la Constitución ",Positivo
Merkel y Sarkozy se rinden a los encantos del presidente Rajoy ,Positivo
"nurvaca: Sr. Mas, no garantizar una sanidad publica de calidad universal es anticonstitucional ,por eso no celebra dia  constitucion?",Negativo
la noticia es la q he contado en el TelediarioInter Un alto cargo del PSOE declarara como testigo ante la juez del 11m antes de Navidad.,Neutral
"Buenos días. Sin Presidente del Gobierno pleno y sin verdadero líder d la oposición, los partidos se ponen d acuerdo. Luego es posible!",Negativo
A los güenos días.,Neutral
"Nadie le cree, pero jura y perjura q sí, q deja la política y se va a Walt Disney. Los corrillos del Congreso con susannagriso",Neutral
"Europa se construye recortando Estado del Bienestar? Austeridad si, pero inteligente: Estado del Bienestar moderno e inversión cree empleo",Negativo
No dejeis de ver el video que acabo de  con la declaración de J-70. Fijaos en Bermudez en los minutos 17 y 21. Zougam merece otro juicio.,Positivo
"Bdías!! vaya tiempo que hace hoy: niebla, que parece que estamos en la boca del lobo, y frío, mucho frío. Apetece algo calentido pal cuerpo",Negativo
"Buenos días,os adjunto mi columna hoy en abc_es sobre la necesidad d una reforma constitucional ",Positivo
"De dónde saldrá el dinero para el banco malo de Rajoy, según el WSJ.  ",Negativo
A vosotros  TuDNIe: Gracias Marivi  mariviromero Me encanta ver por aqui a TuDNIe ;-)),Positivo
Sobre una amiga y compañera de partido. ,Positivo
Interesante análisis de iurquizu sobre los retos del socialismo. ,Positivo
La aventura de dibujar Málaga ,Neutral
"igualmente!“susannagriso: Te responderé dentro de nueve meses, Buenafuente. Un inmenso placer tenerte hoy en ESPEJOPUBLICO.”",Positivo
En Periodistas 21: Hablar a la televisión ,Neutral
"A las 3 en A3noticias, los pilotos de Iberia ponen en riesgo el viaje de Navidad de miles de personas: huelga los días 18 y 29 de diciembre",Negativo
A las 3 en A3noticias os contaremos algunas de las noticias sobre las que más se ha tuiteado en 2011,Neutral
Queremos potenciar y estimular a los mejores alumnos. Será impartido por profesores funcionarios.,Positivo
"Si eso, Bono podía haber convocado la última diputación permanente del congreso el lunes a las 11 de la noche. Sólo lo ha hecho a las 6,30",Neutral
"La novia de Cristiano Ronaldo, Irina de nombre, prefiere ""jugar"" sin camiseta, se vé que no aprecia tanto los colores. ",Negativo
"Por qué no se exige a los bancos intervenidos con dinero público una linea d crédito para PYMES, autónomos y nuevas empresas que contraten?",Negativo
"Otra lectura navideña recomendada: El reto de Rajoy, de oscarelia y Rafa Bardají",Positivo
¿Por qué el felipismo suspende su cena conciabulo? Se lo contamos en el TelediarioInter 20:30,Negativo
Sinde echa mano de chequera para beneficiar a sus amigos. Se lo contamos en nuestro Top secret. TelediarioInter 20:30,Negativo
Andalucía pretende 'robar' los colegios de los curas y monjas. Se lo contamos en el TelediarioInter 20:30,Negativo
España pide eurobonos. Se lo contamos desde Marsella. TelediarioInter 20:30,Neutral
De la Torre espera llegar a un acuerdo con el Puerto por el traslado de los cruceristas ,Positivo
El Ayuntamiento plantea un proyecto que mejora la accesibilidad del Teatro Romano ,Positivo
Yo nunca he dicho eso “JorgeAlacid1: martagllera pedroj_ramirez Pero no habíamos quedado en que fue ETA?”,Negativo
Hoy en el Gato: Juan Rosell. A favor del banco malo? ,Negativo
Mañana contamos en EL PAÍS la charla con la que Iñaki Urdangarín convenció a Jaume Matas para firmar el convenio de Nóos. ¿De .,Positivo
"Empezamos en MundoaCuestas con carloscuestaveo InquisidorTV ChaniHenares SantiAbascal Eduardo Inda, Ricardo Martin y Luis Peiró VeoTV",Neutral
